Words,Reading,Meaning,Sentences
専攻,せんこう,major subject,
トランプ,トランプ,playing cards,
性格,せいかく,character,
だめ,だめ,no good,
参考,さんこう,reference,
明確,めいかく,clear,
釣り,つり,fishing; ...,
愛情,あいじょう,love,
解く,とく,to untie,
企業,きぎょう,enterprise,
明らか,あきらか,obvious,
紐,ひも,string,
有利,ゆうり,advantageous,
巣,す,nest,
勢い,いきおい,force,
郵便,ゆうびん,mail service,
参加,さんか,participation,
命令,めいれい,order,
次第,しだい,dependent upon,
検査,けんさ,inspection,
金融,きんゆう,financing,
要点,ようてん,gist,
梅,うめ,japanese apricot,
準備,じゅんび,preparation,
要素,ようそ,component,
大部分,だいぶぶん,most part,
雇う,やとう,to employ,
要求,ようきゅう,demand,
建築,けんちく,construction,
配達,はいたつ,delivery,
筆,ふで,writing brush,
ゆっくり,ゆっくり,slowly,
場面,ばめん,scene,
憲法,けんぽう,constitution,
常に,つねに,always,
大半,たいはん,majority,
占める,しめる,to occupy,
解ける,とける,to be solved,
下り,くだり,down-train,
解決,かいけつ,settlement,
金属,きんぞく,metal,
金銭,きんせん,money,
くださる,くださる,to give,
要するに,ようするに,in a word,
場,ば,place,
製品,せいひん,manufactured goods,
会計,かいけい,account,
愛する,あいする,to love,
城,しろ,castle,
時刻,じこく,instant,
用心,ようじん,care,
基づく,もとづく,to be grounded on,
貢献,こうけん,contribution,
建設,けんせつ,construction,
できれば,できれば,if possible,
会員,かいいん,member,
操作,そうさ,operation,
瞬間,しゅんかん,moment,
大統領,だいとうりょう,president,
用いる,もちいる,to use,
膝,ひざ,knee,
大戦,たいせん,great war,
行動,こうどう,action,
冗談,じょうだん,jest,
時期,じき,time,
製造,せいぞう,manufacture,
会合,かいごう,meeting,
財産,ざいさん,property,
必ずしも,かならずしも,not always,
嫌う,きらう,to hate,
講演,こうえん,lecture,
貴重,きちょう,precious,
大臣,だいじん,cabinet minister,
ごみ,ごみ,rubbish,
ケチ,ケチ,stinginess,
一体,いったい,the heck,
ちゃんと,ちゃんと,diligently,
起こる,おこる,to occur,
喧嘩,けんか,quarrel,
罪,つみ,つみ,
材料,ざいりょう,ingredients,
眺める,ながめる,to view,
眺め,ながめ,scene,
同僚,どうりょう,coworker,
同様,どうよう,identical,
記入,きにゅう,entry,
記念,きねん,commemoration,
際,さい,on the occasion of,
さて,さて,well,
全く,まったく,really,
全員,ぜんいん,all members,
途端,とたん,just,
ほぼ,ほぼ,almost,
一致,いっち,coincidence,
哀れ,あわれ,pity,
記録,きろく,record,
便り,たより,news,
違いない,ちがいない,sure,
だけど,だけど,however,
人類,じんるい,mankind,
満足,まんぞく,satisfaction,
オーバー,オーバー,overcoat,
熱帯,ねったい,tropics,
熱心,ねっしん,zeal,
記憶,きおく,memory,
芝生,しばふ,lawn,
芝居,しばい,play,
たっぷり,たっぷり,full,
グランド,グランド,"large, grand",
裁判,さいばん,trial,
立場,たちば,standpoint,
胸,むね,chest,
記者,きしゃ,reporter,
記事,きじ,article,
現れ,あらわれ,embodiment,
匂い,におい,odour,
流行,はやり,fashion,
心配,しんぱい,worry,
あたり,あたり,on the bank of,
善,ぜん,good,
一層,いっそう,much more,
雷,かみなり,lightning,
狂う,くるう,to go mad,
つまり,つまり,that is to say,
認める,みとめる,to recognize,
心臓,しんぞう,heart,
人物,じんぶつ,person,
実施,じっし,enforcement,
なかなか,なかなか,very,
実際,じっさい,practicality,
不自由,ふじゆう,discomfort,
ビデオ,ビデオ,video,
グラス,グラス,glass,
対する,たいする,to face,
立ち上がる,たちあがる,to stand up,
不思議,ふしぎ,wonder,
不幸,ふこう,unhappiness,
教科書,きょうかしょ,textbook,
ミス,ミス,"mistake, miss",
渋滞,じゅうたい,congestion,
製,せい,made,
教師,きょうし,teacher,
率土,そっと,face of the earth,
詩,し,poem,
教授,きょうじゅ,professor,
それとも,それとも,or,
外出,がいしゅつ,outing,
実行,じっこう,practice,
実現,じつげん,implementation,
かわいそう,かわいそう,poor,
ほこり,ほこり,dust,
任せる,まかせる,to entrust (e.g. a task) to another,
やがて,やがて,before long,
いとこ,いとこ,male cousin,
制度,せいど,system,
科目,かもく,school subject,
外交,がいこう,diplomacy,
トラック,トラック,truck,
審判,しんぱん,refereeing,
格好,かっこう,"shape, form",
かなり,かなり,considerably,
ぶつ,ぶつ,to hit,
外す,はずす,to unfasten,
金庫,きんこ,safe,
制限,せいげん,restriction,
願い,ねがい,"desire, wish",
願う,ねがう,"to desire,  wish",
命じる,めいじる,to order,
命,いのち,life,
つかむ,つかむ,to seize,
従う,したがう,to abide,
松,まつ,pine tree,
したがって,したがって,therefore,
平ら,たいら,flatness,
唸る,うなる,to groan,
もしも,もしも,if,
滅多に,めったに,rarely,
確かめる,たしかめる,to ascertain,
羽,はね,feather,
地方,ちほう,district,
地平線,ちへいせん,horizon,
旅,たび,travel,
確実,かくじつ,certainty,
ピン,ピン,pin,
魅力,みりょく,charm,
宿泊,しゅくはく,lodging,
幸福,こうふく,happiness,
未来,みらい,the future,
年中,ねんじゅう,whole year,
ゲーム,ゲーム,game,
広告,こうこく,advertisement,
祝い,いわい,congratulation,
祝う,いわう,to congratulate,
拡大,かくだい,magnification,
宇宙,うちゅう,universe,
銃,じゅう,gun,
アイロン,アイロン,iron,
希望,きぼう,hope,
定期,ていき,fixed period,
地区,ちく,district,
備える,そなえる,to furnish,
給料,きゅうりょう,salary,
幸い,さいわい,happiness,
給料,きゅうりょう,salary,
新鮮,しんせん,fresh,
正確,せいかく,accurate,
宿,やど,lodging,
正確,せいかく,accurate,
毛布,もうふ,blanket,
食う,くう,to eat,
苦労,くろう,troubles,
拍手,はくしゅ,clapping hands,
到着,到着,arrival,
アウト,アウト,out,
正,せい,TRUE,
模様,もよう,pattern,
トンネル,トンネル,tunnel,
整理,せいり,sorting,
奇妙,きみょう,strange,
苦手,にがて,poor at,
停留所,ていりゅうじょ,bus stop,
博士,はかせ,doctorate,
嬉しい,うれしい,happy,
苦痛,くつう,くつう,
面倒,めんどう,trouble,
博物館,はくぶつかん,museum,
閉じる,とじる,to close,
政府,せいふ,government,
県,けん,prefecture,
区別,くべつ,distinction,
柄,え,"handle, grip​",
自殺,じさつ,suicide,
苦しい,くるしい,painful,
肩,かた,shoulder,
苦しむ,くるしむ,to suffer,
わた,わた,cotton plant,
綿,めん,cotton,
答案,cotton,examination paper,
免許,めんきょ,license,
回復,かいふく,restoration,
氷,こおり,ice,
相当,そうとう,"befitting, equivalent to",
平和,へいわ,peace,
スキー,スキー,skiing,
勘定,勘定,"calculation, bill",
基本,きほん,"foundation, basics",
高速,こうそく,high speed,
処理,しょり,processing,
等しい,ひとしい,equal,
当時,とうじ,at that time,
労働,ろうどう,manual labor,
裸,はだか,naked,
相続,そうぞく,succession,
相手,あいて,companion,
順調,じゅんちょう,favourable,
相談,そうだん,consultation,
順番,じゅんばん,turn,
勘,かん,perception,
宅,たく,house,
暗記,あんき,memorization,
よろしい,よろしい,good,
よろしく,よろしく,well,
権利,けんり,right,
ありがとう,ありがとう,thank you,
示す,しめす,to take out and show,
あるいは,あるいは,or,
青年,せいねん,youth,
ある,ある,"a certain, have",
喜び,よろこび,joy,
作品,さくひん,work,
保存,ほぞん,preservation,
一般,いっぱん,general,
マーケット,マーケット,market,
可愛らしい,かわいらしい,lovely,
作法,さほう,manners,
状況,じょうきょう,state of affairs,
高価,こうか,high price,
作物,さくもつ,produce,
状態,じょうたい,current status,
作業,さぎょう,work,
いたずら,いたずら,mischief,
長期,ちょうき,long-term,
検討,けんとう,consideration,
作曲,さっきょく,composition,
あらゆる,あらゆる,"all, every",
回す,まわす,to turn,
条件,じょうけん,condition,
スープ,スープ,soup,
とんでもない,とんでもない,unthinkable,
者,もの,person,
ところが,ところが,"even so, however",
情報,じょうほう,information,
請求,せいきゅう,claim,
大陸,たいりく,continent,
作家,さっか,author,
常識,じょうしき,common sense,
全然,ぜんぜん,not at all,
全体,ぜんたい,whole,
スイッチ,スイッチ,switch,
現代,げんだい,nowadays,
解釈,かいしゃく,explanation,
得意,とくい,"triumph, satisfaction",
得る,うる,"to be able to, get, earn",
空く,すく,to become less crowded,
飽きる,あきる,to get tired of,
明かり,あかり,light,
留学,りゅうがく,studying abroad,
現金,げんきん,cash,
道路,どうろ,road,
加減,かげん,degree,
道徳,どうとく,morals,
ケース,ケース,case,
地下,ちか,basement,
地域,ちいき,area,
輝く,かがやく,to shine,
現在,げんざい,now,
弁当,べんとう,bento,
銅貨,どうか,copper coin,
年代,ねんだい,"age, era, period",
地球,ちきゅう,the earth,
現実,げんじつ,reality,
現状,げんじょう,present condition,
現場,げんば,actual spot,
現象,げんしょう,phenomenon,
重要,じゅうよう,important,
では,では,then,
ミルク,ミルク,milk,
知能,ちのう,intelligence,
続き,つづき,sequel,
応じる,おうじる,to respond,
不足,ふそく,insufficiency,
表す,あらわす,to represent,
調子,ちょうし,"tune, tone, manner, way, condition",
地位,ちい,social position,
調査,ちょうさ,investigation,
ですから,ですから,so,
始まり,はじまり,origin,
現れる,あらわれる,to appear,
減る,へる,to decrease,
減らす,へらす,to abate,
知らせ,しらせ,news,
年間,ねんかん,years,
アイスクリーム,アイスクリーム,ice cream,
不正,ふせい,injustice,
知事,ちじ,prefectural governor,
知識,ちしき,knowledge,
グループ,グループ,group,
知恵,ちえ,"wisdom, wit",
なんで,なんで,why,
なんでも,なんでも,any,
好み,このみ,liking,
好む,このむ,to like,
ふと,ふと,suddenly,
ピクニック,ピクニック,picnic,
振る,ふる,to wave,
流れる,ながれる,to stream,
番,ばん,number,
対,つい,pair,
協力,きょうりょく,cooperation,
流す,ながす,to drain,
流れ,ながれ,stream,
重大,じゅうだい,serious,
身体,しんたい,body,
新た,あらた,new,
共同,きょうどう,doing together,
味方,みかた,friend,
奥,おく,interior,
独特,どくとく,peculiarity,
付き合い,つきあい,association,
セット,セット,set,
夢中,むちゅう,"immersed in, daze, crazy about",
混雑,こんざつ,congestion,
真似,まね,imitating,
なし,なし,without,
粗末,そまつ,crude,
読み,よみ,reading,
運動,うんどう,exercise,
独立,どくりつ,independence,
居間,いま,living room,
料金,りょうきん,fee,
構成,こうせい,"organization, composition",
まさか,まさか,by no means,
学者,がくしゃ,scholar,
学習,がくしゅう,study,
茶,ちゃ,tea,
居眠り,いねむり,nodding off,
様々,さまざま,varied,
砂漠,さばく,desert,
真剣,しんけん,seriousness,
学ぶ,まなぶ,to study,
不利,ふり,disadvantage,
出会い,であい,meeting,
桜,さくら,cherry tree,
運,うん,fortune,
ドラマ,ドラマ,drama,
学期,がっき,school term,
去る,さる,to leave,
泥,どろ,mud,
噂,うわさ,rumour,
構う,かまう,to mind,
根,ね,root,
さらに,さらに,furthermore,
語る,かたる,to talk about,
運転,うんてん,operation,
諦める,あきらめる,to give up,
牛,うし,"cattle, cow",
真っ赤,まっか,bright red,
遅刻,ちこく,lateness,
正直,しょうじき,honesty,
小包,こづつみ,parcel,
提出,ていしゅつ,presentation,
ロケット,ロケット,locket,
角,つの,horn,
おめでとう,おめでとう,congratulations,
提案,ていあん,proposal,
攻撃,こうげき,attack,
黙る,だまる,to be silent,
爆発,ばくはつ,explosion,
申し訳,もうしわけ,apology,
ほど,ほど,"degree, extent",
程度,ていど,degree,
防ぐ,ふせぐ,to defend against,
凍る,こおる,to freeze,
化学,かがく,chemistry,
木曜,もくよう,Thursday,
嘘,うそ,lie,
ドライブ,ドライブ,drive,
酸素,さんそ,oxygen,
辞める,やめる,to resign,
コード,コード,code,
越える,こえる,to cross over,
残り,のこり,"remnant, remains",
霜,しも,frost,
覚ます,さます,to awaken,
覚悟,かくご,resolution,
覚める,さめる,to wake,
ごめんなさい,ごめんなさい,"sorry, beg your pardon",
抵抗,ていこう,resistance,
見当,けんとう,aim,
合図,あいず,sign,
マスター,マスター,to master,
正式,せいしき,due form,
賛成,さんせい,approval,
別に,べつに,particularly,
別れ,わかれ,parting,
底,そこ,bottom,
はさみ,はさみ,scissors,
服装,ふくそう,garments,
合計,ごうけい,sum total,
癖,くせ,habit,
装置,そうち,equipment,
自慢,じまん,pride,
正午,しょうご,noon,
見送り,みおくり,seeing one off,
幅,はば,width,
極,きょく,pole,
空,から,emptiness,
訓,くん,native japanese reading,
署名,しょめい,signature,
演奏,えんそう,musical performance,
触れる,ふれる,to touch,
自動,じどう,automatic,
積もる,つもる,to pile up,
合わせる,あわせる,to match,
完全,かんぜん,perfection,
スケート,スケート,skating,
表情,ひょうじょう,facial expression,
ほうき,ほうき,broom,
ふりがな,ふりがな,furigana,
好き嫌い,すききらい,likes and dislikes,
成分,せいぶん,"ingredient, component",
成立,せいりつ,"coming to exist, formation",
嵌める,はめる,"to insert, to put in",
巫山戯る,ふざける,"to joke,  to jest, to kid,  to make fun of",
下降,かこう,descent,
概論,がいろん,"introduction, outline, general remarks",
蓋,ふた,"cover, lid",
街角,まちかど,street corner,
くるむ,くるむ,to wrap up,
平凡,へいぼん,common,
きっかけ,きっかけ,chance,
基準,きじゅん,standard,
性別,せいべつ,distinction by sex,
ビルディング,ビルディング,building,
姪,めい,niece,
スピーカー,スピーカー,speaker,
体操,たいそう,gymnastics,
めいめい,めいめい,each,
体制,たいせい,order,
体積,たいせき,capacity,
器具,きぐ,utensil,
鳴らす,ならす,to ring,
性質,せいしつ,nature,
飢饉,ききん,famine,
平日,へいじつ,weekday,
当たり前,あたりまえ,natural,
相違,そうい,difference,
フリー,フリー,free,
尖る,とがる,to taper to a point,
迷信,めいしん,superstition,
体系,たいけい,system,
当てはまる,あてはまる,to apply (a rule),
外部,がいぶ,the outside,
よこす,よこす,to send,
売り切れる,うりきれる,to be sold out,
売り切れ,うりきれ,sold-out,
性能,せいのう,ability,
低下,ていか,fall,
湯気,ゆげ,steam,
姓,せい,surname,
楕円,だえん,ellipse,
危うい,あやうい,dangerous,
争う,あらそう,to compete,
治める,おさめる,to govern,
レジャー,レジャー,leisure,
宣伝,せんでん,publicity,
よそ,よそ,another place; ...,
灯油,とうゆ,lamp oil,
灯台,とうだい,lighthouse,
純情,じゅんじょう,pure heart,
純粋,じゅんすい,pure,
専制,せんせい,despotism,
釣り合う,つりあう,to balance,
吊る,つる,to hang,
お待たせしました,おまたせしました,thank you for waiting,
明け方,あけがた,dawn,
悠々,ゆうゆう,quiet,
フライパン,フライパン,fry pan,
述べる,のべる,"to state, to speak, to mention, to relate",
盗難,とうなん,theft,
記述,きじゅつ,description,
宣言,せんげん,declaration,
要領,ようりょう,point,
宣伝,せんでん,publicity,
コンセント,コンセント,electrical outlet,
印象,いんしょう,impression,
印刷,いんさつ,printing,
印象的,いんしょうてき,impressive,
早口,はやくち,fast-talking,
印鑑,いんかん,stamp,
無印,むじるし,unlabeled,
印,しるし,"mark, sign",
目印,めじるし,"mark, landmark",
ひらがな,ひらがな,hiragana,
下る,くだる,to descend,
第一印象,だいいちいんしょう,first impression,
対象,たいしょう,target,
現象,げんしょう,phenomenon,
要旨,ようし,point,
平気,へいき,"coolness, calmness, composure",
有り触れる,ありふれる,to be common,
穏やか,おだやか,"calm, gentle, quiet",
循環,じゅんかん,circulation,
懐かし,なつかし,"dear, desired, missed",
相応しい,ふさわしい,"appropriate, adequate, suitable, fitting",
占う,うらなう,to tell someone's fortune,
ほどく,ほどく,to unfasten,
早速,さっそく,at once,
気味,ぎみ,-like; -looking; -looked; tending to,
家賃,やちん,rent,
くだらない,くだらない,good-for-nothing,
次ぐ,つぐ,to rank next to,
運賃,うんちん,"fare, freight rates",
賃貸,ちんたい,"lease, rent, hire",
鉱物,こうぶつ,mineral,
貨物,かもつ,"cargo, freight",
東洋,とうよう,Orient,
怠い,だるい,"sluggish, languid, listless",
見っともない,みっともない,"shameful, disgraceful, indecent, unseemly",
筆者,ひっしゃ,writer,
厄介,やっかい,"trouble, burden, nuisance, bother, worry",
訳解,やっかい,translating and explaining,
筆記,ひっき,taking notes,
だらし無い,だらしない,"slovenly, loose, sluttish, slatternly, untidy",
転々,てんてん,moving from place to place,
霧,きり,"fog, mist, spray",
茹でる,ゆでる,to boil,
薄める,うすめる,"to dilute, to water down",
濃い,こい,"deep, dark, strong, dense",
やかん,やかん,kettle,
羊毛,ようもう,wool,
必需品,ひつじゅひん,necessities,
大通り,おおどおり,main street,
一定,いってい,fixed,
時速,じそく,speed,
用途,ようと,use,
一通り,ひととおり,(in) general,
もともと,もともと,originally,
もったいない,もったいない,wasteful,
用語,ようご,term,
肘,ひじ,elbow,
たいそう,たいそう,very much,
瞳,ひとみ,pupil of eye,
製作,せいさく,manufacture,
ちぎる,ちぎる,to tear to pieces,
起床,きしょう,rising,
溶岩,ようがん,lava,
講師,こうし,lecturer,
行列,ぎょうれつ,line,
へそ,へそ,navel,
溶く,とく,to dissolve,
溶かす,とかす,to melt,
ニコニコ,ニコニコ,with a friendly grin,
溶け込む,とけこむ,to melt into,
溶ける,とける,to melt,
さじ,さじ,spoon,
いったん,いったん,once,
おとなしい,おとなしい,obedient,
大小,だいしょう,sizes,
オーバコート,オーバコート,overcoat,
塵芥,じんかい,rubbish,
便箋,びんせん,writing paper,
材木,ざいもく,lumber,
憧れる,あこがれる,to long for,
いきなり,いきなり,abruptly,
長引く,ながびく,to be prolonged,
便所,べんじょ,toilet,
ポスター,ポスター,poster,
にわか,にわか,sudden,
写る,うつる,to be photographed,
乗車,じょうしゃ,"taking a train, bus, etc.",
略す,りゃくす,to abbreviate,
在学,ざいがく,in school,
写る,うつる,to be photographed,
佚,いつ,being comfortable,
実力,じつりょく,real ability,
是非とも,ぜひとも,by all means,
ラッシュアワー,ラッシュアワー,rush hour,
規律,きりつ,order,
実例,じつれい,example,
返る,かえる,to return,
ようやく,ようやく,finally,
思いがけない,おもいがけない,unexpected,
かじる,かじる,to chew,
満員,まんいん,full house,
記号,きごう,symbol,
両側,りょうがわ,both sides,
裁縫,さいほう,sewing,
匂う,におう,to be fragrant,
一斉,いっせい,simultaneous,
なんとなく,なんとなく,somehow or other,
原理,げんり,principle,
心得る,こころえる,to know,
原料,げんりょう,raw materials,
熱する,ねっする,to heat,
汚す,よごす,to pollute,
ならう,ならう,to imitate,
ねじ,ねじ,screw,
並木,なみき,roadside tree,
人命,じんめい,human life,
つける,つける,to turn on,
だらしない,だらしない,"slovenly, loose, untidy",
何々,なになに,such and such,
実用,じつよう,practical use,
厳重,げんじゅう,strict,
実物,じつぶつ,real thing,
なぞなぞ,なぞなぞ,riddle,
各々,おのおの,each,
重たい,おもたい,heavy,
心身,しんしん,mind and body,
人文科学,じんぶんかがく,humanities,
中身,なかみ,contents,
教養,きょうよう,cultivation,
重ねる,かさねる,to pile up,
心当たり,こころあたり,having some knowledge of,
濡らす,ぬらす,to wet,
レクリエーション,レクリエーション,recreation,
遠足,えんそく,excursion,
実績,じっせき,achievements,
遠足,えんそく,excursion,
重なる,かさなる,to be piled up,
実習,じっしゅう,practice,
乾杯,かんぱい,toast,
立ち止まる,たちどまる,to stop,
ミシン,ミシン,sewing machine,
オートメーション,オートメーション,automation,
吊るす,つるす,to hang,
替わる,かわる,to succeed,
すまない,すまない,inexcusable,
ビニール,ビニール,vinyl,
採る,とる,"to adopt, take",
不潔,ふけつ,unclean,
いとこ,いとこ,cousin,
載る,のる,to be placed on,
ストップ,ストップ,stop,
やっぱり,やっぱり,"too, as expected",
ささやく,ささやく,to whisper,
爪,つめ,nail,
潰れる,つぶれる,to be crushed,
潰す,つぶす,to smash,
仮名,かな,kana,
ストッキング,ストッキング,stockings,
通用,つうよう,popular use,
通訳,つうやく,interpretation,
妥当,だとう,valid,
口実,こうじつ,excuse,
ビタミン,ビタミン,vitamin,
塊,かたまり,lump,
偏る,かたよる,to be one-sided,
寝巻き,ねまき,sleep-wear,
嗅ぐ,かぐ,to sniff,
外れる,はずれる,to be disconnected,
外科,げか,surgery,
制作,せいさく,work,
ベテラン,ベテラン,person with a lot of experience,
レインコート,レインコート,raincoat,
箇所,かしょ,passage,
通路,つうろ,passage,
貸し出し,かしだし,lending,
命ずる,めいずる,to command,
マンション,マンション,condominium,
地点,ちてん,site,
地帯,ちたい,area,
祝日,しゅくじつ,national holiday,
縮む,ちぢむ,to shrink,
言い出す,いいだす,to start talking,
ピンク,ピンク,pink,
申し訳ない,もうしわけない,i'm sorry,
殻,から,shell,
地味,じみ,plain,
地盤,じばん,ground,
縮小,しゅくしょう,reduction,
縮める,ちぢめる,to shorten,
森林,しんりん,forest,
縮れる,ちぢれる,to be wavy,
格別,かくべつ,particular,
地質,ちしつ,geological features,
広さ,ひろさ,extent,
広める,ひろめる,to spread,
蛍光灯,けいこうとう,fluorescent lamp,
からかう,からかう,to ridicule,
年度,ねんど,fiscal year,
揉む,もむ,to rub,
算数,さんすう,arithmetic,
雨戸,あまど,sliding storm shutter,
スマート,スマート,smart,
広場,ひろば,plaza,
ローマ字,ローマじ,romaji,
定休日,ていきゅうび,regular holiday,
拡張,かくちょう,expansion,
定期券,ていきけん,commuter pass,
下町,したまち,low-lying part of a city,
定規,じょうぎ,ruler,
悔しい,くやしい,"vexing, frustrating",
こしらえる,こしらえる,to make,
工夫,くふう,scheme,
南北,なんぼく,north and south,
組み合わせ,くみあわせ,combination,
給与,きゅうよ,pay,
毛皮,けがわ,fur,
南米,なんべい,south america,
産地,さんち,producing area,
各自,かくじ,each person,
区切る,くぎる,to demarcate,
散る,ちる,to fall,
散らす,ちらす,to scatter,
泊める,とめる,to scatter,
毛糸,けいと,knitting wool,
工芸,こうげい,industrial arts,
各地,かくち,every place,
定価,ていか,list price,
定員,ていいん,fixed number of regular personnel,
拡充,かくじゅう,expansion,
工事,こうじ,construction work,
茂る,しげる,to grow thickly,
下水,げすい,drainage,
整備,せいび,maintenance,
統計,とうけい,statistics,
惨め,みじめ,miserable,
山林,さんりん,mountain forest,
初旬,しょじゅん,first 10 days of the month,
自習,じしゅう,self-study,
トレーニング,トレーニング,training,
停電,ていでん,power outage,
閉会,へいかい,closure,
統一,とういつ,unity,
苦心,くしん,pain,
総理大臣,そうりだいじん,prime minister,
寄せる,よせる,to come near,
苦情,くじょう,complaint,
散らかる,ちらかる,to be in disorder,
南極,なんきょく,south pole,
面接,めんせつ,interview,
散らかす,ちらかす,to scatter around,
かみそり,かみそり,razor,
撒く,まく,to scatter,
めんどくさい,めんどくさい,bothersome,
下書き,したがき,rough copy,
割引,わりびき,discount,
面積,めんせき,"square measure, area measurement",
レンズ,レンズ,lens,
割り算,わりざん,division,
政党,せいとう,political party,
下駄,げた,"geta, wooden sandal",
県庁,けんちょう,prefectural office,
区分,くぶん,division,
エチケット,エチケット,etiquette,
高度,こうど,altitude,
並行,へいこう,going side-by-side,
高等,こうとう,high class,
下線,かせん,underline,
詫びる,わびる,to apologize,
整数,せいすう,integer,
免税,めんぜい,tax exemption,
先先週,せんせんしゅう,week before last,
自治,じち,self-government,
初級,しょきゅう,elementary level,
アイデア,アイデア,idea,
等分,とうぶん,division into equal parts,
湧く,わく,to well up,
相変わらず,あいかわらず,"as ever, as usual",
濁る,にごる,to become muddy,
勘違い,かんちがい,misunderstanding,
若々しい,わかわかしい,youthful,
くどい,くどい,"tedious, repetitious, verbose",
自衛,じえい,self-defense,
研修,けんしゅう,training,
秤,はかり,scales,
基礎,きそ,foundation,
回答,かいとう,reply,
句読点,くとうてん,punctuation mark,
這う,はう,to creep,
当番,とうばん,being on duty,
標本,ひょうほん,example,
区域,くいき,limits,
分かれる,わかれる,"to branch, fork. separate",
当日,とうじつ,appointed day,
高層,こうそう,multistory,
窓口,まどぐち,ticket window,
回転,かいてん,rotation,
めちゃくちゃ,めちゃくちゃ,absurd,
基地,きち,base,
むく,むく,to peel,
基盤,きばん,foundation,
転がす,ころがす,to roll,
相撲,すもう,sumo wrestling,
まとめる,まとめる,to collect,
マイナス,マイナス,minus,
ぼろ,ぼろ,rag,
下旬,げじゅん,last third of a month,
売買,ばいばい,trade,
売店,ばいてん,"shop, stand, stall",
寒帯,かんたい,frigid zone,
高級,こうきゅう,high class,
平野,へいや,plain,
展開,てんかい,development,
順々,じゅんじゅん,in order,
蒸し暑い,むしあつい,humid,
献立,こんだて,menu,
下車,げしゃ,alighting,
標準,ひょうじゅん,standard,
標識,ひょうしき,sign,
蒸す,むす,to steam,
蒸気,じょうき,steam,
蒸発,じょうはつ,evaporation,
順序,じゅんじょ,order,
スカーフ,スカーフ,scarf,
作製,さくせい,manufacture,
めぐる,めぐる,to go around,
欲張り,よくばり,greed,
題名,だいめい,title,
高める,たかめる,to raise,
磁石,じしゃく,magnet,
解放,かいほう,release,
たたむ,たたむ,to fold,
青白い,あおじろい,pale,
可決,かけつ,approval,
可愛がる,かわいがる,to love,
解答,かいとう,answer,
滝,たき,waterfall,
巡査,じゅんさ,police officer,
怪しい,あやしい,suspicious,
回数券,かいすうけん,coupon tickets,
回数,かいすう,number of times,
蘇る,よみがえる,to be resurrected,
第一,だいいち,first,
項目,こうもく,"item, heading, clause, category",
香水,こうすい,perfume,
青少年,せいしょうねん,youth,
儀式,ぎしき,ceremony,
乾電池,かんでんち,dry cell,
回り道,まわりみち,detour,
特殊,とくしゅ,special,
作成,さくせい,"drawing up, making",
作者,さくしゃ,author,
編み物,あみもの,knitting,
当てはめる,あてはめる,to apply,
宛名,あてな,name,
誓う,ちかう,to swear,
大木,たいぼく,large tree,
おおよそ,おおよそ,about,
跳ねる,はねる,to jump,
かねつ,かねつ,heating,
社説,しゃせつ,editorial,
恵まれる,めぐまれる,to be blessed with,
保健,ほけん,health preservation,
応対,おうたい,"dealing with, receiving",
応接,おうせつ,"reception, dealing with",
加速度,かそくど,acceleration,
加速,かそく,acceleration,
温まる,あたたまる,to warm oneself,
温める,あたためる,to warm,
解散,かいさん,breakup,
オイル,オイル,oil,
どうぞよろしく,どうぞよろしく,pleased to meet you,
どうせ,どうせ,anyhow,
超過,ちょうか,excess,
解説,かいせつ,explanation,
道順,みちじゅん,"route, itinerary",
岬,みさき,cape,
社会科学,しゃかいかがく,social science,
行ってまいります,いってまいります,"good bye, i’m off",
留守番,るすばん,care-taking,
西暦,せいれき,christian era,
まとまる,まとまる,to be collected,
調味料,ちょうみりょう,flavoring,
全身,ぜんしん,whole body,
調節,ちょうせつ,regulation,
全集,ぜんしゅう,complete works,
調整,ちょうせい,adjustment,
響く,ひびく,to resound,
煮える,にえる,to boil,
驚かす,おどろかす,to surprise,
斜め,ななめ,slanting,
飢える,うえる,to starve,
溜める,ためる,"to amass, gather",
溜まる,たまる,"to collect, gather",
ピストル,ピストル,pistol,
不通,ふつう,suspension,
ふもと,ふもと,"foot, bottom, base",
ブラシ,ブラシ,brush,
煮る,にる,"to boil, simmer, stew",
工員,こういん,factory worker,
童話,どうわ,fairy-tale,
知人,ちじん,friend,
日日,ひにち,"the number of days, date",
応援,おうえん,"aid, assistance",
そば,そば,buckwheat,
重力,じゅうりょく,gravity,
ミリ,ミリ,milli,
往復,おうふく,making a round trip,
重量,じゅうりょう,weight,
現に,げんに,actually,
レベル,レベル,level,
垣根,かきね,"hedge, fence",
残らず,のこらず,"all, entirely",
はじめまして,はじめまして,how do you do,
新幹線,しんかんせん,Shinkansen,
気を付ける,きをつける,to be careful,
凹む,へこむ,to be dented,
流行る,はやる,to be popular,
孝行,こうこう,filial piety,
捩る,ねじる,"to screw, twist",
重役,じゅうやく,"company director, executive",
生る,なる,to bear fruit,
射す,さす,to shine,
写生,しゃせい,sketching,
流域,りゅういき,"river basin, basin",
重点,じゅうてん,important point,
停車,ていしゃ,stopping,
停止,ていし,suspension,
味わう,あじわう,to taste,
混ぜる,まぜる,to mix,
真似る,まねる,to mimic,
酌む,くむ,"to pour sake, serve",
混合,こんごう,mixing,
素質,そしつ,"aptitude, character",
崖,がけ,cliff,
体つき,からだつき,body build,
成熟,せいじゅく,maturity,
