Exp,Freq,Word,Meaning,Type
586 越える cross.over-go.over,586,越える,cross.over-go.over,Verb
587 図る attempt-plan-strive,587,図る,attempt-plan-strive,Verb
594 思い出す remember,594,思い出す,remember,Verb
39 そう so-such,39,そう,so-such,Adverb
52 もう already-soon-again,52,もう,already-soon-again,Adverb
60 こう so-like.this,60,こう,so-like.this,Adverb
75 やっぱり as-as.expected-still,75,やっぱり,as-as.expected-still,Adverb
84 また additionally-moreover-again-too,84,また,additionally-moreover-again-too,Adverb
85 ちょっと a.little-a.bit,85,ちょっと,a.little-a.bit,Adverb
95 どう how-what,95,どう,how-what,Adverb
126 よく good-well-often,126,よく,good-well-often,Adverb
142 とても very,142,とても,very,Adverb
143 いろいろ various,143,いろいろ,various,Adverb
147 一番 number.one-first-most,147,一番,number.one-first-most,Adverb
150 まず first-anyway,150,まず,first-anyway,Adverb
153 余り the.rest-not.much,153,余り,the.rest-not.much,Adverb
166 結構 quite-good,166,結構,quite-good,Adverb
168 例えば for.example-such.as ,168,例えば,for.example-such.as,Adverb
184 ただ just-only-just-merely,184,ただ,just-only-just-merely,Adverb
190 少し a.little-a.few,190,少し,a.little-a.few,Adverb
206 かなり considerably-rather,206,かなり,considerably-rather,Adverb
216 特に especially-particularly,216,特に,especially-particularly,Adverb
221 すぐ soon,221,すぐ,soon,Adverb
241 ほとんど almost-nearly,241,ほとんど,almost-nearly,Adverb
253 ずっと all.the.time-for.a.long.time,253,ずっと,all.the.time-for.a.long.time,Adverb
254 さらに again-still.more-moreover,254,さらに,again-still.more-moreover,Adverb
257 たくさん many-much,257,たくさん,many-much,Adverb
259 大体 almost-nearly,259,大体,almost-nearly,Adverb
260 もちろん .say,260,もちろん,of.course-needless.to.say,Adverb
272 なぜ why of.course-needless.2.say,272,なぜ,why,Adverb
284 初めて for.the.first.time-first,284,初めて,for.the.first.time-first,Adverb
289 全く entirely-completely-not.at.all,289,全く,entirely-completely-not.at.all,Adverb
291 結局 after.all-in.the.end-finally,291,結局,after.all-in.the.end-finally,Adverb
297 なかなか very-quite-not.easily,297,なかなか,very-quite-not.easily,Adverb
299 もっと more,299,もっと,more,Adverb
305 もし if-in.case,305,もし,if-in.case,Adverb
191 まま as.it.is,191,まま,as.it.is,Adverb
13 ている continuous.state-continuous.action,13,ている,continuation,Aux-Inflection
16 という named-called,16,という,named-called,Part-Cmp
20 んです assertion,20,んです,assertion,Aux-Functional
43 てしまう end.up.doing-completely-done,43,てしまう,end.up.doing-completely-done,Aux-Inflection
49 のだ assertion ,49,のだ,assertion,Aux-Inflection
53 である copula,53,である,copula,Aux-Inflection
83 として as,83,として,as,Part-Cmp
86 てくる do.came,86,てくる,do.came,Aux-Inflection
89 ではない it.is.not.the.case,89,ではない,it.is.not.the.case,Aux-Functional
90 ていく do.go,90,ていく,do.go,Aux-Inflection
106 ておる continuation.polite,106,ておる,continuation.polite,Aux-Inflection
107 について about-concerning-as.to ,107,について,about-concerning-as.to,Part-Cmp
111 てみる try.ing,111,てみる,try.ing,Aux-Inflection
114 てくれる do.for.someone,114,てくれる,do.for.someone,Aux-Inflection
125 のではない it.is.not.that ,125,のではない,it.is.not.that,Aux-Functional
154 によって by.because.of-depending.on,154,によって,by.because.of-depending.on,Part-Cmp
155 かもしれない perhaps-maybe,155,かもしれない,perhaps-maybe,Aux-Functional
172 てくださる do.for.someone,172,てくださる,do.for.someone,Aux-Inflection
198 てもらう receive.a.favor,198,てもらう,receive.a.favor,Aux-Inflection
202 のである assertion.formal,202,のである,assertion.formal,Aux-Functional
233 において at-in-on,233,において,at-in-on,Part-Cmp
239 による due.to-based.on,239,による,due.to-based.on,Part-Cmp
252 ていただく receive.a.favor.humble,252,ていただく,receive.a.favor.humble,Aux-Inflection
269 ておく do.something.in.advance-in.preparation.for,269,ておく,do.something.in.advance-in.preparation.for,Aux-Inflection
270 に対して to-toward-for-against,270,に対して,to-toward-for-against,Part-Cmp
278 にとって for,278,にとって,for,Part-Cmp
300 ことができる can-be.able.to,300,ことができる,can-be.able.to,Aux-Functional
326 ことになる it.happens.that-it.is.decided.that,326,ことになる,it.happens.that-it.is.decided.that,Aux-Functional
340 により by-with-depending.on,340,により,by-with-depending.on,Part-Cmp
344 ために for,344,ために,for,Part-Cmp
348 に対する to-for-against,348,に対する,to-for-against,Part-Cmp
360 てある resultative.state.of.an.action.done.by.someone,360,てある,resultative.state.of.an.action.done.by.someone,Aux-Inflection
362 における in,362,における,in,Part-Cmp
371 なければいけない must-have.to-need-to,371,なければいけない,must-have.to-need-to,Aux-Functional
404 に関する concerning-relating.to,404,に関する,concerning-relating.to,Part-Cmp
454 てもいい i.don’t.mind.if ,454,てもいい,i.don’t.mind.if,Aux-Functional
461 でない copula.negative,461,でない,copula.negative,Aux-Functional
486 といった like-such.as,486,といった,like-such.as,Part-Cmp
495 なければならない must,495,なければならない,must,Aux-Functional
536 てほしい want.ask-someone.to.do,536,てほしい,want.ask-someone.to.do,Aux-Inflection
542 でございます be.formal ,542,でございます,be.formal,Aux-Functional
595 に関して about-regarding-concerning,595,に関して,about-regarding-concerning,Part-Cmp
770 てあげる do.something.for.somebody,770,てあげる,do.something.for.somebody,Aux-Inflection
775 ことがある have.done-there.are.sometimes,775,ことがある,have.done-there.are.sometimes,Aux-Functional
779 てやる do.something.for.someone,779,てやる,do.something.for.someone,Aux-Inflection
999 こともある sometimes-can.be,999,こともある,sometimes-can.be,Aux-Functional
1000 てはいけない must.not-should.not,1000,てはいけない,must.not-should.not,Aux-Functional
1007 に対し toward-against-in.contrast.to,1007,に対し,toward-against-in.contrast.to,Part-Cmp
1130 ではありません not-no,1130,ではありません,not-no,Aux-Functional
1171 とともに together.with-with,1171,とともに,together.with-with,Part-Cmp
1205 としても assuming-even.if,1205,としても,assuming-even.if,Part-Cmp
1306 を通じて throughout-across-through,1306,を通じて,throughout-across-through,Part-Cmp
1342 にしても even.if-even.though,1342,にしても,even.if-even.though,Part-Cmp
1348 によると according.to,1348,によると,according.to,Part-Cmp
1477 でもって by-with-in,1477,でもって,by-with-in,Part-Cmp
1574 だけでなく not.only,1574,だけでなく,not.only,Aux-Functional
1799 をもって by-with-as.of,1799,をもって,by-with-as.of,Part-Cmp
1810 上で after-in.the.context.of,1810,上で,after-in.the.context.of,Part-Cmp
1853 なくてはいけない have.to-must,1853,なくてはいけない,have.to-must,Aux-Inflection
1921 ざるを得ない have.to-cannot.help.doing,1921,ざるを得ない,have.to-cannot.help.doing,Aux-Functional
1953 にあたって at.the.time.of,1953,にあたって,at.the.time.of,Part-Cmp
1986 て参る begin.to-come.to-have.been-go.and.come.humble,1986,て参る,begin.to-come.to-have.been-go.and.come.humble,Aux-Inflection
2143 つつある be.in.the.process.of.doing-be.doing,2143,つつある,be.in.the.process.of.doing-be.doing,Aux-Functional
2294 てはならない must.not-should.not,2294,てはならない,must.not-should.not,Aux-Functional
2297 しかない can’t.but-can.only-have.no.choice,2297,しかない,can’t.but-can.only-have.no.choice,Aux-Functional
2351 によれば according.to,2351,によれば,according.to,Part-Cmp
2374 によっては depending.on,2374,によっては,depending.on,Part-Cmp
2409 にわたって throughout-over.a.period.of,2409,にわたって,throughout-over.a.period.of,Part-Cmp
2911 を通して according.to-through,2911,を通して,according.to-through,Part-Cmp
2971 ねばならない must-have.to,2971,ねばならない,must-have.to,Aux-Inflection
3002 ないといけない must-have.to,3002,ないといけない,must-have.to,Aux-Inflection
3046 につれて as,3046,につれて,as,Part-Cmp
3342 なくてはならない must,3342,なくてはならない,must,Aux-Inflection
3411 をめぐる over-concerning,3411,をめぐる,over-concerning,Part-Cmp
3536 にわたる ranging-covering,3536,にわたる,ranging-covering,Part-Cmp
3699 までもない needless,3699,までもない,needless,Aux-Functional
3713 に比べて compared.to,3713,に比べて,compared.to,Part-Cmp
4193 仕方が無い cannot.be.helped-no.use,4193,仕方が無い,cannot.be.helped-no.use,Aux-Functional
4 た past.verb,4,た,past.verb,Aux-Inflection
6 だ copula,6,だ,copula,Aux-Functional
10 ます polite.form.vern-masu.form,10,ます,polite.form.vern-masu.form,Aux-Inflection
14 です copula.polite,14,です,copula.polite,Aux-Functional
15 れる passie.verb,15,れる,passie.verb,Aux-Inflection
27 ない not-negative.verb,27,ない,not-negative.verb,Aux-Inflection
33 よう inducement-volitional.verb,33,よう,inducement-volitional.verb,Aux-Inflection
50 せる causative.verb,50,せる,causative.verb,Aux-Inflection
56 ず negation.verb,56,ず,negation.verb,Aux-Inflection
76 たい want.to-like.to-desiderative.verb,76,たい,want.to-like.to-desiderative.verb,Aux-Inflection
31 けれど though-although,31,けれど,though-although,Conjunction
35 で so-then,35,で,so-then,Conjunction
84 また additionally-moreover-again-too-and,84,また,additionally-moreover-again-too-and,Conjunction
108 それで and.then-so-that.is,108,それで,and.then-so-that.is,Conjunction
113 そして and-so,113,そして,and-so,Conjunction
136 それから and.then-after.that-and,136,それから,and.then-after.that-and,Conjunction
140 でも but-however,140,でも,but-however,Conjunction
162 しかし but-however,162,しかし,but-however,Conjunction
184 ただ just-only-merely,184,ただ,just-only-merely,Conjunction
185 だから so-therefore-because,185,だから,so-therefore-because,Conjunction
237 あるいは or-perhaps-probably-maybe,237,あるいは,or-perhaps-probably-maybe,Conjunction
256 及び and-as.well.as,256,及び,and-as.well.as,Conjunction
346 または or,346,または,or,Conjunction
352 じゃ well-so-then,352,じゃ,well-so-then,Conjunction
376 ですから so-therefore,376,ですから,so-therefore,Conjunction
456 しかも moreover-besides,456,しかも,moreover-besides,Conjunction
552 ところが however ,552,ところが,however,Conjunction
558 一方 one.side-on.the.other.side,558,一方,one.side-on.the.other.side,Conjunction
561 それでも but-still,561,それでも,but-still,Conjunction
578 要するに in.short-to.sum.up ,578,要するに,in.short-to.sum.up,Conjunction
612 だが but-however ,612,だが,but-however,Conjunction
724 ただし but-however-though ,724,ただし,but-however-though,Conjunction
769 では then-well ,769,では,then-well,Conjunction
857 したがって accordingly-consequently ,857,したがって,accordingly-consequently,Conjunction
904 ちなみに by.the.way-incidentally ,904,ちなみに,by.the.way-incidentally,Conjunction
922 すなわち that.is.to.say-namely,922,すなわち,that.is.to.say-namely,Conjunction
933 だけれど despite.though,933,だけれど,despite.though,Conjunction
963 もしくは or-otherwise,963,もしくは,or-otherwise,Conjunction
1062 さて well-now ,1062,さて,well-now,Conjunction
1096 かつ besides-also-as.well ,1096,かつ,besides-also-as.well,Conjunction
1166 それでは then-well-so,1166,それでは,then-well-so,Conjunction
1424 から because ,1424,から,because,Conjunction
1492 それとも or ,1492,それとも,or,Conjunction
1629 そこで so,1629,そこで,so,Conjunction
1710 すると then-if.so ,1710,すると,then-if.so,Conjunction
1812 が but ,1812,が,but,Conjunction
2153 なので because-as ,2153,なので,because-as,Conjunction
2155 ところで by.the.way-well ,2155,ところで,by.the.way-well,Conjunction
"2193 だって because,-but ",2193,だって,"because,-but",Conjunction
2222 もっとも though-although ,2222,もっとも,though-although,Conjunction
2494 ないし or-otherwise ,2494,ないし,or-otherwise,Conjunction
2818 ですが but-however ,2818,ですが,but-however,Conjunction
3140 ですけれど but,3140,ですけれど,but,Conjunction
3461 ならびに and-both.and ,3461,ならびに,and-both.and,Conjunction
3889 だけど but-however,3889,だけど,but-however,Conjunction
26 ね isn’t.it?-don’t.you?-affirmation,26,ね,isn’t.it?-don’t.you?-affirmation,Part-Ender
29 か questioning,29,か,questioning,Part-Ender
55 な prohibition,55,な,prohibition,Part-Ender
59 よ assertion-reminding,59,よ,assertion-reminding,Part-Ender
309 の emotional-questioning,309,の,emotional-questioning,Part-Ender
331 わ exclamation,331,わ,exclamation,Part-Ender
641 ぞ emphasis,641,ぞ,emphasis,Part-Ender
721 さ attract.attention,721,さ,attract.attention,Part-Ender
921 かしら wondering,921,かしら,wondering,Part-Ender
1339 い questioning,1339,い,questioning,Part-Ender
1732 け recalling.someting.forgotten,1732,け,recalling.someting.forgotten,Part-Ender
3016 じゃん isn’t.it ,3016,じゃん,isn’t.it,Part-Ender
8 て reason,8,て,reason,Part-Conjuctive
37 が adversative,37,が,adversative,Part-Conjuctive
41 と if-when-with,41,と,if-when-with,Part-Conjuctive
57 ので because-since,57,ので,because-since,Part-Conjuctive
61 から because-since,61,から,because-since,Part-Conjuctive
62 ば if,62,ば,if,Part-Conjuctive
96 し and-besides,96,し,and-besides,Part-Conjuctive
117 ながら with-over-while,117,ながら,with-over-while,Part-Conjuctive
131 ても even.if,131,ても,even.if,Part-Conjuctive
511 のに although-though-in.order.to,511,のに,although-though-in.order.to,Part-Conjuctive
744 つつ while.doing-though,744,つつ,while.doing-though,Part-Conjuctive
1179 ものの but-although-despite,1179,ものの,but-although-despite,Part-Conjuctive
2538 ては alternately.do.and,2538,ては,alternately.do.and,Part-Conjuctive
2645 としたら if.so,2645,としたら,if.so,Part-Conjuctive
2697 にもかかわらず in.spite.of-though-despite,2697,にもかかわらず,in.spite.of-though-despite,Part-Conjuctive
2899 にしろ even.if,2899,にしろ,even.if,Part-Conjuctive
2958 とすれば if.that.is.the.case,2958,とすれば,if.that.is.the.case,Part-Conjuctive
2982 とはいえ though-however,2982,とはいえ,though-however,Part-Conjuctive
3 は topic,3,は,topic,Part-Adverbial
11 も too-also,11,も,too-also,Part-Adverbial
24 の possessive,24,の,possessive,Part-Adverbial
36 か if-or,36,か,if-or,Part-Adverbial
45 とか and-or,45,とか,and-or,Part-Adverbial
63 や and-or,63,や,and-or,Part-Adverbial
66 まで to-till-until,66,まで,to-till-until,Part-Adverbial
68 たり and,68,たり,and,Part-Adverbial
81 など and.so.on-etc.,81,など,and.so.on-etc.,Part-Adverbial
87 だけ only-alone-merely,87,だけ,only-alone-merely,Part-Adverbial
88 くらい about-around,88,くらい,about-around,Part-Adverbial
88 ぐらい about-around,88,ぐらい,about-around,Part-Adverbial
161 ほど about-extent,161,ほど,about-extent,Part-Adverbial
189 なんか such.as-like,189,なんか,such.as-like,Part-Adverbial
211 しか only-just-no.more.than,211,しか,only-just-no.more.than,Part-Adverbial
229 なんて show.excitement-example-keishi-kenson,229,なんて,show.excitement-example-keishi-kenson,Part-Adverbial
271 ばかり only-just-almost,271,ばかり,only-just-almost,Part-Adverbial
450 こそ emphatic,450,こそ,emphatic,Part-Adverbial
549 ずつ each-by,549,ずつ,each-by,Part-Adverbial
609 のみ only-merely,609,のみ,only-merely,Part-Adverbial
632 さえ even-besides-if.only,632,さえ,even-besides-if.only,Part-Adverbial
1013 やら and-or,1013,やら,and-or,Part-Adverbial
1474 なり or-whether.or.not,1474,なり,or-whether.or.not,Part-Adverbial
1665 すら even,1665,すら,even,Part-Adverbial
1685 きり only,1685,きり,only,Part-Adverbial
1886 もの because,1886,もの,because,Part-Adverbial
1902 どころ far.from-on.the.contrary-can’t.even,1902,どころ,far.from-on.the.contrary-can’t.even,Part-Adverbial
1996 とも all-both,1996,とも,all-both,Part-Adverbial
2013 ぜ emphasis,2013,ぜ,emphasis,Part-Adverbial
2150 たって even.if,2150,たって,even.if,Part-Adverbial
2720 といっても even-though,2720,といっても,even-though,Part-Adverbial
 2769 をはじめ starting.with-including,2769,をはじめ,starting.with-including,Part-Adverbial
3037 ど but.classical,3037,ど,but.classical,Part-Adverbial
3299 では in-on-as.for,3299,では,in-on-as.for,Part-Adverbial
3430 際に when,3430,際に,when,Part-Adverbial
3727 しも emphasis.classical,3727,しも,emphasis.classical,Part-Adverbial
4775 のみならず not.only.but-as.well.as,4775,のみならず,not.only.but-as.well.as,Part-Adverbial
4908 つ indicating.contrasts-coordinations,4908,つ,indicating.contrasts-coordinations,Part-Adverbial
306 全然 not.at.all-utterly-completely,306,全然,not.at.all-utterly-completely,Adverb
320 たぶん probably-perhaps-maybe,320,たぶん,probably-perhaps-maybe,Adverb
338 全部 all-whole-entire,338,全部,all-whole-entire,Adverb
343 毎日 every.day,343,毎日,every.day,Adverb
366 確か sure-certain-reliably,366,確か,sure-certain-reliably,Adverb
373 ちょうど just-exactly,373,ちょうど,just-exactly,Adverb
374 当然 naturally-as.a.matter.of.course,374,当然,naturally-as.a.matter.of.course,Adverb
379 どんどん rapidly-fast-soon,379,どんどん,rapidly-fast-soon,Adverb
381 とにかく anyway-regardless,381,とにかく,anyway-regardless,Adverb
391 必ず always-certainly-surely,391,必ず,always-certainly-surely,Adverb
412 自然 naturally,412,自然,naturally,Adverb
415 一応 at.first.glance-at.least-just,415,一応,at.first.glance-at.least-just,Adverb
419 一杯 cup.ful-glass.ful-full.of-a.lot.of,419,一杯,cup.ful-glass.ful-full.of-a.lot.of,Adverb
421 つまり in.short-that.is.to.say-after.all,421,つまり,in.short-that.is.to.say-after.all,Adverb
424 絶対 absolutely-whatever,424,絶対,absolutely-whatever,Adverb
433 だんだん gradually-more.and.more-less.and.less,433,だんだん,gradually-more.and.more-less.and.less,Adverb
463 すでに already-before,463,すでに,already-before,Adverb
480 十分 fully-sufficiently-adequately,480,十分,fully-sufficiently-adequately,Adverb
510 どうしても by.all.means-at.any.cost-no.matter.what,510,どうしても,by.all.means-at.any.cost-no.matter.what,Adverb
530 最も most-extremely,530,最も,most-extremely,Adverb
533 ちゃんと exactly-regularly-properly,533,ちゃんと,exactly-regularly-properly,Adverb
551 取り敢えず for.the.time.being-at.once,551,取り敢えず,for.the.time.being-at.once,Adverb
582 今後 in.the.future-from.now.on,582,今後,in.the.future-from.now.on,Adverb
590 はっきり clearly-certainly,590,はっきり,clearly-certainly,Adverb
616 いずれ anyway-sooner.or.later-either,616,いずれ,anyway-sooner.or.later-either,Adverb
625 割と comparatively-rather,625,割と,comparatively-rather,Adverb
631 是非 by.all.means-please-definitely-certainly,631,是非,by.all.means-please-definitely-certainly,Adverb
636 きっと surely-certainly,636,きっと,surely-certainly,Adverb
