Kanji,NR,KR,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3,W4,R4,M4,W5,R5,M5
血,KETSU,chi,blood,血液,けつえき,blood,血圧,けつあつ,blood pressure,輸血,ゆけつ,blood transfusion,出血,しゅっけつ,bleeding,混血,こんけつ,mixed race
衆,SHUU,.,"masses, multitude, populace",衆議院,しゅうぎいん,house of representatives,公衆,こうしゅう,the public,大衆,たいしゅう,general public,観衆,かんしゅう,spectators,聴衆,ちょうしゅう,audience
隊,TAI,.,"regiment, party, company",軍隊,ぐんたい,armed forces,兵隊,へいたい,soldier,部隊,ぶたい,"force, unit, corps",連隊,れんたい,regiment,中隊,ちゅうたい,"company, troop"
豚,TON,buta,"pork, pig",豚肉,ぶたにく,pork,豚カツ,とんかつ,tonkatsu,海豚,いるか,dolphin,河豚,ふぐ,puffer fish,酢豚,すぶた,sweet-and-sour pork​
劇,GEKI,.,"drama, play",劇場,げきじょう,"theatre, playhouse",演劇,えんげき,"drama, play",喜劇,きげき,comedy,悲劇,ひげき,tragic drama,劇的,げきてき,dramatic
家,"KA, KE","ie, ya","house, home, family, expert",家族,かぞく,family,作家,さっか,author,屋根,やね,roof,家主,やぬし,landlord,専門家,せんもんか,"specialist, expert"
象,"SHOU, ZOU",.,"elephant, pattern, imitate",対象,たいしょう,"target, object",現象,げんしょう,phenomenon,印象,いんしょう,impression,気象,きしょう,weather conditions,象牙,ぞうげ,ivory
像,ZOU,.,"statue, picture, image",映像,えいぞう,"image, picture",想像,そうぞう,imagination,画像,がぞう,"image, picture",肖像,しょうぞう,"portrait, likeness",自画像,じがぞう,self-portrait
絵,"KAI, E",.,"picture, drawing, painting",絵画,かいが,"painting, picture",絵,え,"picture, drawing",絵本,えほん,picture book,挿絵,さしえ,"illustration, picture",絵巻,えまき,picture scroll
給,KYUU,.,"salary, wage, grant, allow",給与,きゅうよ,"pay, salary",給食,きゅうしょく,provision of lunch,給料,きゅうりょう,"salary, wages",供給,きょうきゅう,"supply, provision",配給,はいきゅう,"distribution, rationing"
愉,YU,.,"pleasure, happy, rejoice",愉快,ゆかい,"pleasant, delightful",不愉快,ふゆかい,"unpleasant, displeasing",愉悦,ゆえつ,"joy, pleasure",愉楽,ゆらく,pleasure,愉色,ゆしょく,cheerful expression
諭,YU,sato,"rebuke, admonish, charge",諭す,さとす,admonish,教諭,きょうゆ,licensed teacher,諭し,さとし,"guidance, admonition",助教諭,じょきょうゆ,associate professor,告諭,こくゆ,official notice​
癒,YU,"ie, iya","healing, cure, quench",癒す,いやす,"to heal, cure, quench",癒着,ゆちゃく,adhesion,快癒,かいゆ,recovery,治癒,ちゆ,"heal, cure, recover",癒し系,いやしけい,"therapy, healing, soothing"
愁,SHUU,ure,"distress, grieve, lament",憂える,うれえる,to worry about,憂い,うれい,"sorrow, grief, worry",郷愁,きょうしゅう,nostalgia,愁傷,しゅうしょう,"grief, sorrow",哀愁,あいしゅう,"sorrow, grief"
恐,KYOU,oso,"fear, dread, awe",恐れる,おそれる,"to fear, afraid of",恐ろしい,おそろしい,"terrible, dreadful",恐怖,きょうふ,"fear, dread",恐らく,おそらく,"probably, likely",恐縮,きょうしゅく,feeling obliged
厄,YAKU,.,"unlucky, misfortune, disaster",厄介,やっかい,"trouble, burden, nuisance, care",厄介者,やっかいもの,"burden, nuisance, parasite",災厄,さいやく,"calamity, disaster, accident",厄難,やくなん,"calamity, evil, misfortune",大厄,たいやく,calamity; disaster
圧,ATSU,.,"pressure, push, overwhelm",圧縮,あっしゅく,"compression, condensing",抑圧,よくあつ,"check, restraint, oppression",圧迫,あっぱく,"pressure, oppression",低気圧,ていきあつ,low pressure,圧倒,あっとう,"overwhelm, overpower"
灰,KAI,hai,ashes,石灰,せっかい,lime,灰皿,はいざら,ashtray,火山灰,かざんばい,volcanic ash,灰色,はいいろ,"grey, gray",灰,はい,"ash, ashes"
炭,TAN,sumi,"charcoal, coal",石炭,せきたん,coal,炭鉱,たんこう,coal mine,炭素,たんそ,carbon,木炭,もくたん,charcoal,炭酸,たんさん,carbonic acid
岩,GAN,ima,"boulder, rock, cliff",溶岩,ようがん,lava,岩石,がんせき,rock,岩,いわ,"rock, boulder",岩棚,いわたな,ledge,岩登り,いわのぼり,rock climbing
