Kanji.A,Read.A,Mean.A,Kanji.B,Read.B,Mean.B,Kanji.C,Read.C,Mean.C
掛かる,かかる,to take・hang,片付ける,かたづける,to tidy up・put in order,頑張る,がんばる,to persevere
関わる,かかわる,be affected・influenced,固まる,かたまる,to harden・solidify,聴く,きく,to hear・listen
隠す,かくす,to hide・conceal,勝つ,かつ,to win,気付く,きづく,to notice・realize
掛ける,かける,to hang up・put on・spend,被る,かぶる,to put on・wear,決める,きめる,to decide
駆ける,かける,to run・dash・race,構う,かまう ,to mind・care about,嫌う,きらう,to hate・dislike
囲む,かこむ,to surround・encircle・enclose,通う,かよう,to attend・commute,切る,きる,to cut・sever
重ねる,かさねる,to pile up・heap up・stack up,借りる,かりる,to borrow,着る,きる,to wear・put on
飾る,かざる,to decorate・ornament,枯れる,かれる,to wither ,草臥れる,くたびれる,to get tired・worn out
貸す,かす,to lend・loan・rent out,乾く,かわく,to get dry,配る,くばる,to distribute・allocate
稼ぐ,かせぐ,to earn・gain・make,変わる,かわる,to change,組む,くむ,to link・put together
曇る,くもる,to get cloudy,混む,こむ,to be crowded,冷める,さめる,to cool down
比べる,くらべる,to compare,込む,こむ,to go into・packed,覚める,さめる,to wake up
加える,くわえる,to add・sum up・increase,転ぶ,ころぶ,to fall down,騒ぐ,さわぐ,to make noise
消す,けす,to erase・turn off・put out,壊れる,こわれる,to be broken,触る,さわる,to touch・feel
越える,こえる,to cross over・pass through,探す,さがす,to search for,沈む,しずむ,to sink・submerge
超える,こえる,to cross over・exceed,逆らう,さからう,to go against,従う,したがう,to obey・abide・follow
凍る,こおる,to freeze,咲く,さく,to bloom,支払う,しはらう,to pay
漕ぐ,こぐ,to row・paddle,叫ぶ,さけぶ,to shout,絞る,しぼる,to squeeze
断る,ことわる,to refuse・reject,指す,さす,to point,仕舞う,しまう,to finish・bring to a close
困る,こまる,to be troubled・have difficulty,誘う,さそう,to invite・ask・tempt,示す,しめす,to demonstrate・show
締める,しめる,to tie・fasten,滑る,すべる,to glide・slide・slip・fail,叩く,たたく,to strike・tap・pat
喋る,しゃべる,to talk・chat,済む,すむ,to finish・complete,畳む,たたむ,to fold・close
調べる,しらべる,to examine,注ぐ,そそぐ,to pour・sprinkle・spray,建つ,たつ,to be built・erected
信じる,しんじる,to believe,育つ,そだつ,to be raised・brought up,経つ,たつ,to pass・elapse
吸う,すう,to smoke・breathe in,倒れる,たおれる,to fall over・collapse,建てる,たてる,to build・construct
過ぎる,すぎる,to pass through・elapse・exceed,確かめる,たしかめる,to make sure・ascertain,楽しむ,たのしむ,to enjoy・have fun
過ごす,すごす,to spend・pass・overdo,足す,たす,to add・top up,頼む,たのむ,to request・ask
進む,すすむ,to advance,助ける,たすける,to save・rescue・help,溜まる,たまる,to accumulate・save・gather
勧める,すすめる,to recommend ,尋ねる,たずねる,to ask・inquire・search,貯める,ためる,to save up
捨てる,すてる,to throw away,戦う,たたかう,to make war,頼る,たよる,to rely on・depend on
黙る,だまる,to be silent,勤める,つとめる,to work for・employed at,届ける,とどける,to deliver・forward・send
違う,ちがう,to differ・vary・disagree with,務める,つとめる,to work for・employed at,飛ぶ,とぶ,to fly・soar・jump・rush・flee
捕まえる,つかまえる,to catch・capture・seize・grab,連れる,つれる,to take someone・bring along,泊まる,とまる,to stay at
掴む,つかむ,to seize・catch・grasp・acquire,手伝う,てつだう,to help・assist,止まる ,とまる,to stop・alight・perch on
疲れる,つかれる,to get tired,出かける,でかける,to go out・leave・depart,停める,とめる,to stop・turn off・park・prevent
付く,つく,to be attached・adhere,通す,とおす,to force through・go through,止める,とめる・やめる,to stop・turn off・park・prevent
着く,つく,to arrive at・reach,通る,とおる,to go by・go past・go via,採る,とる,to adopt・take measure・extract
付ける,つける,to attach・join・append・furnish,解く,とく,to untie・unfasten,撮る,とる,to take a photo・record・film
続く,つづく,to continue,溶ける,とける,to melt・dissolve,怒鳴る,どなる,to shout・yell
包む,つつむ,to wrap up・pack・cover,届く,とどく,to reach・arrive・delivered,直す,なおす,to repair・fit・correct
治す,なおす,to cure・heal,鳴る,なる,to sound・ring,濡れる,ぬれる ,to get wet
直る,なおる,to get mended・fixed,慣れる,なれる,to get used to,願う,ねがう,to desire・wish・hope・request
治る,なおる,to get better・recover・get well,似合う,にあう,to suit・match,眠る,ねむる,to sleep​
泣く,なく,to cry・weep,握る ,にぎる,to grasp・grip・hold,寝る,ねる,to sleep・go to bed・lie down
慰める,なぐさめる,to comfort・console・amuse,逃げる,にげる,to run away・escape,残す,のこす,to leave・save・set aside・reserve
無くす,なくす,to lose something・get rid of,似る,にる,to resemble・look alike,残る,のこる,to remain・be left
投げる,なげる,to throw・toss・cast・abandon,煮る,にる,to boil・simmer・stew,載せる,のせる,to place on・give a lift・load
悩む,なやむ,to be worried・be troubled,脱ぐ,ぬぐ,to take off・undress,伸ばす,のばす,to grow long・lengthen・extend
習う ,ならう,to learn,抜ける,ぬける,to come out・fall out,伸びる,のびる,to stretch・straighten out・expand
並ぶ,ならぶ,to line up・stand in a line,塗る,ぬる,to paint・plaster・spread,生える,はえる,to grow・sprout・spring up
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
明るい,あかるい,bright・well-lit,忙しい,いそがしい,busy・hectic,惜しい,おしい,regrettable・precious
浅い,あさい,shallow,痛い,いたい,painful,大人しい,おとなしい,obedient・gentle
暖かい,あたたかい,warm・mild,愛しい,いとしい,lovely・beloved,面白い,おもしろい,interesting
温かい,あたたかい,warm・mild,薄い,うすい,thin・light,硬い,かたい, hard・solid・tough​
新しい,あたらしい,new,美しい,うつくしい,beautiful,悲しい,かなしい,sad
暑い,あつい,hot・warm,羨ましい,うらやましい,envious,痒い,かゆい,itchy
熱い,あつい,hot to touch,煩い,うるさい,noisy・annoying,辛い,からい,spicy・hot
厚い,あつい,thick・deep・heavy​,嬉しい,うれしい,happy・pleased,軽い,かるい,light
危ない,あぶない,dangerous,偉い,えらい,great・excellent,可愛い,かわいい,cute
甘い,あまい,sweet-tasting,美味しい,おいしい,delicious,可愛らしい,かわいらしい,lovely・sweet
怪しい,あやしい,suspicious,可笑しい,おかしい,funny・strange,汚い,きたない,dirty
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
安全,あんぜん,safe,基礎的,きそてき,fundamental,最高,さいこう,best・most
意外,いがい,unexpected,基本的,きほんてき,fundamental・basic,最終的,さいしゅうてき ,final
一般的,いっぱんてき,general・common,急,きゅう,sudden・abrupt,最低,さいてい,worst・least
嫌,いや,undesirable,嫌い,きらい,disliked,盛ん,さかん,prosperous
確実,かくじつ,certain・reliable,具体的,ぐたいてき,concrete・substantial,様々,さまざま,various
活動的,かつどうてき,active・dynamic,経済的,けいざいてき,economical,残念,ざんねん,regrettable
可能,かのう,possible・feasible, 健康,けんこう,healthy,幸せ,しあわせ,happy
可哀想,かわいそう,pitiful・pathetic,元気,げんき,lively,静か,しずか,quiet・silent・calm
簡単,かんたん,simple・easy,効果的,こうかてき,effective,自然,しぜん,natural
危険,きけん,danger,高価,こうか,highly priced,失礼,しつれい,impolite
