Question,Options,Answer
わたしは大学で植物について研究したので、農業について____な知識がある。,1 代表的 2 経済的 3 数学的 4 専門的,4 専門的
明日、みんなに____お知らせをする予定だ。,1 立派な 2 重要な 3 地味な 4 慎重な ,2 重要な
遠い場所に住んでいる恋人と、一年ぶりに____会えた。,1 なかなか 2 いつでも 3 ようやく 4 はじめて,3 ようやく
____雨が降ったら、海ではなくプールに行きましょう。,1 今いまにも 2 確たしか 3 もし 4 一度に,3 もし
二時までにこの仕事が終わるかはわかりませんが、____早く終わらせます。,1 なるべく 2 主おもに 3 次第に 4 だいたい,1 なるべく
だめだとわかっていても、____お菓子を食べ過ぎてしまいます。,1 まず 2 きちんと 3 つい 4 だんだん,3 つい
たくさん勉強したが、____試験に合格するとは限らない。,1 例えば 2 必ずしも 3 多少 4 いくらでも ,2 必ずしも
支払う金額を____出すことができた。,1 そのまま 2 まっすぐ 3 ただ 4 ちょうど ,4 ちょうど 
割れたコップは、危ないので____触らないでください。,1 先に 2 突然 3 絶対 4 最も ,3 絶対
多分その作り方で合っていますが、____確認しましょう。,1 次々 2 結構 3 相当 4 一応,4 一応
たくさん見たけど、____最初に行ったお店の服が欲しいな。,1 やっと 2 もちろん 3 やっぱり 4 ずいぶん,3 やっぱり
卒業してから一度も会っていなかった佐藤さんと____駅で会った。,1 かなり 2 偶然 3 せっかく 4 結局 ,2 偶然
普段はお酒を飲まないが、____飲むとおいしく感じる。,1 すぐに 2 あまり 3 もっと 4 たまに ,4 たまに 
大学生になってから、____実家に帰っていない。,1 まるで 2 時々 3 しばらく 4 たいてい ,3 しばらく
本当はどう思っているのか、____言ってください。,1 そっくり 2 はっきり 3 てっきり 4 きっかり ,2 はっきり
今日は時間がないから、また今度____話しましょう。,1 ぐっすり 2 さっと 3 そっと 4 ゆっくり ,4 ゆっくり 
まだ本を読みたいけど、明日も早いし____寝よう。,1 ころころ 2 ごろごろ 3 そろそろ 4 のろのろ,3 そろそろ
坂井さんはアメリカに留学していたので、英語が____話せます。,1 こんこん 2 うろうろ 3 ぺらぺら 4 べらべら,3 ぺらぺら
____して、大事な資料を家に忘れてきてしまった。,1 すっかり 2 びっくり 3 きっちり 4 うっかり,4 うっかり
この皿は大切なものだから、落とさないように____持っていてね。,1 すっと 2 ぴったり 3 しっかり 4 そっと ,3 しっかり
暑い中一時間も山を歩いたので、のどが____だ。,1 がらがら 2 ざらざら 3 さらさら 4 からから ,4 からから 
朝から何も食べていないので、お腹が____だ。,1 どきどき 2 ぺろぺろ 3 いらいら 4 ぺこぺこ ,4 ぺこぺこ 
家に着いたとたん、仕事の疲れが____出てきた。,1 どっと 2 ぎっしり  3 さっぱり 4 じっと ,1 どっと
来月行われる、マラソン大会の____を考える。,1 エネルギー 2 ケース 3 コース 4 サンプル,3 コース
山下さんは、性格が明るく____を取ることが得意です。,1 アイデア 2 コミュニケーション 3 マナー 4 メッセージ ,2 コミュニケーション
興味のある会社のホームページに____する。,1 インタビュー 2 アクセス 3 ファックス 4 チェックイン,2 アクセス
りんごを買いに行ったら、店員さんが____で一つ多く入れてくれた。,1 サービス 2 センター 3 ベランダ 4 ヒント ,1 サービス
今まで一度もやったことがなかったサッカーに____する。,1 トレーニング 2 アップ 3 チャレンジ 4 ダビング ,3 チャレンジ
会社でビジネスの____を教える。,1 マナー 2 サイズ 3 レシピ 4 メニュー ,1 マナー
急に用事ができてしまい、仕方なく明日の予定を____した。,1 アナウンス 2 リサイクル 3 キャンセル 4 ストップ,3 キャンセル
資料を読んだら、最後に____をお願いします。,1 リスト 2 サイン 3 デザイン 4 テキスト ,2 サイン
二か月前に買ったペンの____がもうなくなってしまいました。,1 ソース 2 エンジン 3 インク 4 ペンキ,3 インク
他の<u>ほうほう</u>を考えましょう。,1 じょうたい 2 意味 3 やり方 4 原因,3 やり方
中本さんは、元気で明るい<u>印象</u>です。,1 イメージ 2 性格 3 メンバー 4 人 ,1 イメージ
この仕事は<u>共同で</u>作業しましょう。,1 一人で 2 一緒に 3 後で 4 先に ,2 一緒に
村上さんは<u>ふだん</u>、スカートをはいている。,1 けっきょく 2 ときどき 3 いつも 4 初めて ,3 いつも 
商品が<u>わりびきになっている</u>。,1 売れて無くなっている 2 あまっている 3 高くなっている 4 安くなっている ,4 安くなっている 
<u>かんかく</u>をあけてください。,1 よてい 2 あいだ 3 みち 4 せき,2 あいだ
どの学校にも、<u>きそく</u>がある。,1 グラウンド 2 制服 3 ルール 4 試験,3 ルール
父は、声に<u>特徴がある</u>。,1 自信を持っている 2 不満を持っている 3 他とは違うところがある 4 他と同じところがある,3 他とは違うところがある
<u>具合</u>があまりよくない。,1 成績 2 天気 3 結果 4 調子,4 調子
<u>生活習慣</u>を見直しましょう。,1 たまに行っていること 2 毎日行っていること 3 たまにできること 4 毎日できること,2 毎日行っていること
イベントを<u>延期するこ</u>とにした。,1 早く行う 2 先にのばす 3 新しく考える 4 全てやめる ,2 先にのばす
新しいパソコンが<u>故障した</u>。,1 こわれた 2 出た 3 売れた 4 とどいた ,1 こわれた
兄に、自転車を<u>修理して</u>もらう。,1 買って 2 なおして 3 降りて 4 かして ,2 なおして
ビルを<u>けんせつする</u>そうだ。,1 貸す 2 こわす 3 たてる 4 借りる ,3 たてる
結果を<u>ほうこくする</u>。,1 知らせる 2 確かめる 3 残す 4 出す ,1 知らせる
アンケートを<u>かいしゅうする</u>。,1 作る 2 書く3 配る 4 集める ,4 集める
サービスを<u>りようする</u>。,1 中止する 2 始める 3 用意する 4 使う ,4 使う 
会議を<u>しんこうする</u>。,1 見学する 2 準備する 3 すすめる 4 おわらせる,3 すすめる
50メートルの橋を<u>往復する</u>。,1 最後まで渡る 2 行って戻る 3 走る 4 歩く,2 行って戻る
<u>かんそうさせた</u>食べ物には、栄養がある。,1 やいた 2 にた 3 かわかした 4 あたためた ,3 かわかした
